Detailed Evaluation,,,,,,,,,,
Chunk Size,PDF Pages,Total Chunks,Top K,Question,Retrieval Quality,Retrieval Feedback,Generated Answer,Expected Answer,Answer Quality,Answer Feedback
500,24,176,3,How many open-source AI agent framework repositories were analyzed in the study?,Good,Retrieved context contains the information needed to answer the question.,15 open-source AI agent framework repositories were analyzed.,15 repositories.,Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,What was the total number of unique human code contributors identified across all 15 repositories after filtering out bot accounts?,Good,Retrieved context contains the information needed to answer the question.,"12,594 unique human code contributors.","12,594 unique human code contributors.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,"What is the contributor density ratio, and how is it calculated?",Good,Retrieved context contains the information needed to answer the question.,"Based on the context, the contributor density ratio is defined as total code contributors per 1,000 GitHub stars.","The contributor density ratio is the number of total code contributors per 1,000 GitHub stars. It's calculation is not mentioned in the context.",Partial,Model failed to acknowledge second part of the query.
500,24,176,3,Why does the study argue that GitHub star counts alone are not a reliable measure of actual adoption?,Partial,Retrieved information is incomplete.,"Based solely on the provided context, the study argues that GitHub star counts are not a reliable measure of actual adoption because a large-scale study identified six million suspected fake stars between 2019 and 2024, with AI and LLM repositories representing the largest share.","Star counts primarily measure visibility or awareness and may be affected by hype cycles, launch effects, anomalous activity, or coordinated starring. They do not necessarily represent active engagement or actual code contribution.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,"Which framework had the highest contributor density ratio, and how does this relate to the framework's position in the awareness-versus-adoption analysis?",Good,Retrieved context contains the information needed to answer the question.,"Based on the context, Pydantic-AI showed higher contributor density. The context states that ""Lower-profile frameworks such as Pydantic-AI show higher contributor density, indicating deeper adoption."" This relates to the awareness-versus-adoption analysis by showing that visibility and engagement diverge, as lower-profile frameworks can have deeper adoption despite lower awareness.","Pydantic AI had the highest contributor density ratio at 42.3 contributors per 1,000 stars. It was classified as a Quiet Compounder, meaning it had relatively lower awareness but comparatively strong contributor engagement.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,Why is LangChain considered a shared infrastructure or bridge within the open-source AI agent framework ecosystem?,Partial,Retrieved information is incomplete,"Based solely on the provided context, LangChain is considered a shared infrastructure or bridge because 82.5% of cross-ecosystem contributors have engaged with it, and it consistently appears as a bridge across otherwise unrelated framework families.","LangChain attracted approximately 82.5% of cross-ecosystem contributors and appeared in many cross-framework contributor pairings. Its composable components are also used by or integrated with other frameworks, allowing contributors to engage across multiple ecosystems.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,What does the study reveal about contributor retention during the first 30 to 90 days after a contributor's initial contribution?,Good,Retrieved context contains the information needed to answer the question.,"Based on the context, the study reveals that the steepest decline in retention occurs during the first 30 days, when many contributors do not make a second contribution. Retention rises somewhat at the 60- and 90-day marks for some repositories as contributors have more time to return, but changes little beyond that point.","The steepest decline in contributor retention occurs during the first 30 days. Retention may increase somewhat by 60 or 90 days as contributors have more time to return, but it generally stabilizes after approximately 90 days.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,AutoGPT had very high visibility but relatively low contributor retention. What does this comparison suggest about the difference between popularity and sustained adoption?,Good,Retrieved context contains the information needed to answer the question.,"Based solely on the provided context, the comparison suggests that ""headline popularity is unreliable"" and that ""star counts reflect hype cycles and inorganic activity."" AutoGPT's high visibility (111,967 stars in one month) did not translate into sustained user engagement, as its retention rate fell to around 30% by Day 30 and remained below 35% by Day 360.","High visibility or popularity does not necessarily lead to sustained community engagement. AutoGPT attracted significant attention and stars, but its contributor retention was relatively low, showing that initial popularity and long-term adoption are different measures.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,"Which framework had the lowest contributor density ratio in the dataset, and what was its ratio?",Good,Retrieved context contains the information needed to answer the question.,MetaGPT had the lowest contributor density ratio in the dataset at 3.9.,"MetaGPT had the lowest contributor density ratio at 3.9 contributors per 1,000 stars.",Good,Answer is consistent with the expected answer and addresses the question.
500,24,176,3,"What was the exact average response time, in hours, for maintainers to review and merge a first-time contributor's pull request in the LangChain repository?",Good,Retrieved context contains the information needed to answer the question.,Information not found in documents.,This information cannot be determined from the PDF.,Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,How many open-source AI agent framework repositories were analyzed in the study?,Good,Retrieved context contains the information needed to answer the question.,15 repositories were analyzed in the study.,15 repositories.,Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,What was the total number of unique human code contributors identified across all 15 repositories after filtering out bot accounts?,Good,Retrieved context contains the information needed to answer the question.,"12,594 unique human code contributors.","12,594 unique human code contributors.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,"What is the contributor density ratio, and how is it calculated?",Good,Retrieved context contains the information needed to answer the question.,"Based solely on the provided context, the contributor density ratio is defined as ""total code contributors per 1,000 GitHub stars.""","The contributor density ratio is the number of total code contributors per 1,000 GitHub stars. It's calculation is not mentioned in the context.",Partial,Model failed to acknowledge second part of the query.
1000,24,76,3,Why does the study argue that GitHub star counts alone are not a reliable measure of actual adoption?,Good,Retrieved context contains the information needed to answer the question.,"Based solely on the provided context, the study does not argue that GitHub star counts alone are not a reliable measure of actual adoption. The context states that stars are treated as a ""directional indicator of visibility rather than a definitive adoption measure,"" and that the study assesses the reliability of star-based metrics by evaluating each starring event against three signals to flag anomalies. However, it does not explicitly argue why stars alone are unreliable.","Star counts primarily measure visibility or awareness and may be affected by hype cycles, launch effects, anomalous activity, or coordinated starring. They do not necessarily represent active engagement or actual code contribution.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,"Which framework had the highest contributor density ratio, and how does this relate to the framework's position in the awareness-versus-adoption analysis?",Poor,Retrieved information is not close to the expected one.,Information not found in documents.,"Pydantic AI had the highest contributor density ratio at 42.3 contributors per 1,000 stars. It was classified as a Quiet Compounder, meaning it had relatively lower awareness but comparatively strong contributor engagement.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,Why is LangChain considered a shared infrastructure or bridge within the open-source AI agent framework ecosystem?,Poor,Retrieved information is not close to the expected one.,"Based solely on the provided context, the reason LangChain is considered a shared infrastructure or bridge is not found. The context only mentions that LangChain enables ""composable LLM"" capabilities, but does not explain its role as a bridge or shared infrastructure within the ecosystem.

Information not found in documents.","LangChain attracted approximately 82.5% of cross-ecosystem contributors and appeared in many cross-framework contributor pairings. Its composable components are also used by or integrated with other frameworks, allowing contributors to engage across multiple ecosystems.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,What does the study reveal about contributor retention during the first 30 to 90 days after a contributor's initial contribution?,Good,Retrieved context contains the information needed to answer the question.,"Based on the context, the steepest decline in retention occurs during the first 30 days, when many contributors do not make a second contribution. Retention rises somewhat at the 60- and 90-day marks for some repositories, but changes little beyond that point, suggesting that contributors who do not re-engage within 90 days are not likely to return later.","The steepest decline in contributor retention occurs during the first 30 days. Retention may increase somewhat by 60 or 90 days as contributors have more time to return, but it generally stabilizes after approximately 90 days.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,AutoGPT had very high visibility but relatively low contributor retention. What does this comparison suggest about the difference between popularity and sustained adoption?,Good,Retrieved context contains the information needed to answer the question.,"Based solely on the provided context, the comparison suggests that ""high awareness alone is not a reliable indicator of contributor engagement."" The text states that AutoGPT's ""exceptional visibility"" did not translate into sustained participation, as it sustained ""fewer than 35% of its early contributors across the full observation period.""","High visibility or popularity does not necessarily lead to sustained community engagement. AutoGPT attracted significant attention and stars, but its contributor retention was relatively low, showing that initial popularity and long-term adoption are different measures.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,"Which framework had the lowest contributor density ratio in the dataset, and what was its ratio?",Good,Retrieved context contains the information needed to answer the question.,"MetaGPT had the lowest contributor density ratio in the dataset at 3.9 contributors per 1,000 stars.","MetaGPT had the lowest contributor density ratio at 3.9 contributors per 1,000 stars.",Good,Answer is consistent with the expected answer and addresses the question.
1000,24,76,3,"What was the exact average response time, in hours, for maintainers to review and merge a first-time contributor's pull request in the LangChain repository?",Good,Retrieved context contains the information needed to answer the question.,Information not found in documents.,This information cannot be determined from the PDF.,Good,Answer is consistent with the expected answer and addresses the question.
